,song,artist
0,Drivers License,Olivia Rodrigo
1,Mood,24kGoldn Featuring iann dior
2,Positions,Ariana Grande
3,Blinding Lights,The Weeknd
4,Go Crazy,Chris Brown & Young Thug
5,Levitating,Dua Lipa Featuring DaBaby
6,Holy,Justin Bieber Featuring Chance The Rapper
7,Bang!,AJR
8,Wasted On You,Morgan Wallen
9,Good Days,SZA
10,34+35,Ariana Grande
11,Lonely,Justin Bieber & benny blanco
12,Laugh Now Cry Later,Drake Featuring Lil Durk
13,I Hope,Gabby Barrett Featuring Charlie Puth
14,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
15,More Than My Hometown,Morgan Wallen
16,Therefore I Am,Billie Eilish
17,7 Summers,Morgan Wallen
18,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
19,Body,Megan Thee Stallion
20,Save Your Tears,The Weeknd
21,Anyone,Justin Bieber
22,Dakiti,Bad Bunny & Jhay Cortez
23,Better Together,Luke Combs
24,Whoopty,CJ
25,Somebody's Problem,Morgan Wallen
26,What You Know Bout Love,Pop Smoke
27,Kings & Queens,Ava Max
28,Willow,Taylor Swift
29,I Should Probably Go To Bed,Dan + Shay
30,Before You Go,Lewis Capaldi
31,Sand In My Boots,Morgan Wallen
32,You Broke Me First.,Tate McRae
33,Rockstar,DaBaby Featuring Roddy Ricch
34,Dynamite,BTS
35,Afterglow,Ed Sheeran
36,On Me,Lil Baby
37,Starting Over,Chris Stapleton
38,Best Friend,Saweetie Featuring Doja Cat
39,My Ex's Best Friend,Machine Gun Kelly X blackbear
40,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
41,Warning,Morgan Wallen
42,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
43,Good Time,Niko Moon
44,Still Goin Down,Morgan Wallen
45,865,Morgan Wallen
46,Diamonds,Sam Smith
47,WAP,Cardi B Featuring Megan Thee Stallion
48,Hole In The Bottle,Kelsea Ballerini
49,Hawai,Maluma & The Weeknd
50,Cry Baby,Megan Thee Stallion Featuring DaBaby
51,Cover Me Up,Morgan Wallen
52,Champagne Night,Lady A
53,You're Mines Still,Yung Bleu Featuring Drake
54,Monster,Shawn Mendes & Justin Bieber
55,B.S.,Jhene Aiko Featuring H.E.R.
56,Without You,The Kid LAROI
57,Holiday,Lil Nas X
58,"Big, Big Plans",Chris Lane
59,Love You Like I Used To,Russell Dickerson
60,Still Trappin',Lil Durk & King Von
61,Dangerous,Morgan Wallen
62,Neon Eyes,Morgan Wallen
63,Damage,H.E.R.
64,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake
65,More Surprised Than Me,Morgan Wallen
66,Forever After All,Luke Combs
67,Back To The Streets,Saweetie Featuring Jhene Aiko
68,Throat Baby (Go Baby),BRS Kash
69,Happy Does,Kenny Chesney
70,Tyler Herro,Jack Harlow
71,Take You Dancing,Jason Derulo
72,Prisoner,Miley Cyrus Featuring Dua Lipa
73,Livin' The Dream,Morgan Wallen
74,Put Your Records On,Ritt Momney
75,What's Your Country Song,Thomas Rhett
76,Beers And Sunshine,Darius Rucker
77,Back In Blood,Pooh Shiesty Featuring Lil Durk
78,Long Live,Florida Georgia Line
79,Hit Different,SZA Featuring Ty Dolla $ign
80,Monsters,All Time Low Featuring Demi Lovato & blackbear 
81,Down To One,Luke Bryan
82,Whiskey'd My Way,Morgan Wallen
83,Your Bartender,Morgan Wallen
84,Golden,Harry Styles
85,Outlaw,Morgan Wallen Featuring Ben Burgess
86,Just The Way,Parmalee x Blanco Brown
87,Bichota,Karol G
88,The Good Ones,Gabby Barrett
89,Only Thing That's Gone,Morgan Wallen Featuring Chris Stapleton
90,Streets,Doja Cat
91,This Bar,Morgan Wallen
92,Wonderin' Bout The Wind,Morgan Wallen
93,So Done,The Kid LAROI
94,Pick Up Your Feelings,Jazmine Sullivan
95,Adderall (Corvette Corvette),Popp Hunna
96,Girl Like Me,Jazmine Sullivan Featuring H.E.R.
97,Midnight Sky,Miley Cyrus
98,Moonwalking In Calabasas,DDG
99,Buss It,Erica Banks
